[2021-06-28 18:26:17,800] [INFO] [10664] [fund_spider]: program start date2021-06-28 18:26:17
[2021-06-28 18:26:17,801] [INFO] [10664] [fund_spider]: Spider 天天基金 start
[2021-06-28 18:26:24,962] [INFO] [14236] [fund_spider]: code:162411, name:华宝标普油气上游股票人民币A
[2021-06-28 18:26:25,020] [INFO] [12636] [fund_spider]: code:005296, name:南华丰淳混合A
[2021-06-28 18:26:25,090] [INFO] [2308] [fund_spider]: code:005297, name:南华丰淳混合C
[2021-06-28 18:26:25,160] [INFO] [10176] [fund_spider]: code:007844, name:华宝标普油气上游股票人民币C
[2021-06-28 18:26:25,232] [INFO] [9840] [fund_spider]: code:007555, name:中航瑞明纯债A
[2021-06-28 18:26:25,329] [INFO] [14236] [fund_spider]: code:162719, name:广发道琼斯石油指数人民币A
[2021-06-28 18:26:25,518] [INFO] [2308] [fund_spider]: code:001487, name:宝盈优势产业混合
[2021-06-28 18:26:25,540] [INFO] [12636] [fund_spider]: code:004243, name:广发道琼斯石油指数人民币C
[2021-06-28 18:26:25,621] [INFO] [10176] [fund_spider]: code:002943, name:广发多因子混合
[2021-06-28 18:26:25,672] [INFO] [9840] [fund_spider]: code:008099, name:广发价值领先混合A
[2021-06-28 18:26:25,768] [INFO] [14236] [fund_spider]: code:007556, name:中航瑞明纯债C
[2021-06-28 18:26:25,868] [INFO] [12636] [fund_spider]: code:002296, name:长城行业轮动混合
[2021-06-28 18:26:25,966] [INFO] [10176] [fund_spider]: code:165513, name:信诚全球商品主题
[2021-06-28 18:26:26,041] [INFO] [2308] [fund_spider]: code:008284, name:易方达全球医药行业(QDII)人民币
[2021-06-28 18:26:26,179] [INFO] [14236] [fund_spider]: code:163208, name:诺安油气能源
[2021-06-28 18:26:26,274] [INFO] [9840] [fund_spider]: code:001298, name:金鹰民族新兴混合
[2021-06-28 18:26:26,374] [INFO] [12636] [fund_spider]: code:005412, name:金信民长混合A
[2021-06-28 18:26:26,449] [INFO] [10176] [fund_spider]: code:005413, name:金信民长混合C
[2021-06-28 18:26:26,583] [INFO] [2308] [fund_spider]: code:004040, name:金鹰医疗健康产业A
[2021-06-28 18:26:26,588] [INFO] [14236] [fund_spider]: code:004041, name:金鹰医疗健康产业C
[2021-06-28 18:26:26,698] [INFO] [9840] [fund_spider]: code:008763, name:天弘越南市场股票(QDII)A
[2021-06-28 18:26:26,745] [INFO] [12636] [fund_spider]: code:008764, name:天弘越南市场股票(QDII)C
[2021-06-28 18:26:26,940] [INFO] [2308] [fund_spider]: code:002408, name:中信建投医改混合A
[2021-06-28 18:26:26,981] [INFO] [14236] [fund_spider]: code:003886, name:汇安丰利混合A
[2021-06-28 18:26:27,025] [INFO] [10176] [fund_spider]: code:001951, name:金鹰改革红利混合
[2021-06-28 18:26:27,132] [INFO] [12636] [fund_spider]: code:007553, name:中信建投医改混合C
[2021-06-28 18:26:27,255] [INFO] [9840] [fund_spider]: code:003887, name:汇安丰利混合C
[2021-06-28 18:26:27,367] [INFO] [14236] [fund_spider]: code:010090, name:中信建投医药健康A
[2021-06-28 18:26:27,439] [INFO] [10176] [fund_spider]: code:000452, name:南方医药保健灵活配置混合
[2021-06-28 18:26:27,450] [INFO] [2308] [fund_spider]: code:007872, name:金信稳健策略灵活配置混合
[2021-06-28 18:26:27,619] [INFO] [12636] [fund_spider]: code:163001, name:长信医疗保健混合(LOF)
[2021-06-28 18:26:27,662] [INFO] [9840] [fund_spider]: code:010091, name:中信建投医药健康C
[2021-06-28 18:26:27,744] [INFO] [14236] [fund_spider]: code:001171, name:工银养老产业股票A
[2021-06-28 18:26:27,849] [INFO] [2308] [fund_spider]: code:006049, name:恒越研究精选混合A/B
[2021-06-28 18:26:27,993] [INFO] [12636] [fund_spider]: code:005983, name:上投摩根核心精选
[2021-06-28 18:26:28,039] [INFO] [10176] [fund_spider]: code:005669, name:前海开源公用事业股票
[2021-06-28 18:26:28,094] [INFO] [9840] [fund_spider]: code:007192, name:恒越研究精选混合C
[2021-06-28 18:26:28,277] [INFO] [2308] [fund_spider]: code:001532, name:华安文体健康混合
[2021-06-28 18:26:28,386] [INFO] [14236] [fund_spider]: code:006299, name:恒越核心精选混合A
[2021-06-28 18:26:28,396] [INFO] [12636] [fund_spider]: code:007193, name:恒越核心精选混合C
[2021-06-28 18:26:28,548] [INFO] [9840] [fund_spider]: code:000689, name:前海开源新经济混合
[2021-06-28 18:26:28,561] [INFO] [10176] [fund_spider]: code:090018, name:大成新锐产业混合
[2021-06-28 18:26:28,758] [INFO] [14236] [fund_spider]: code:166019, name:中欧价值智选混合A
[2021-06-28 18:26:28,803] [INFO] [12636] [fund_spider]: code:001887, name:中欧价值智选混合E
[2021-06-28 18:26:28,865] [INFO] [2308] [fund_spider]: code:090020, name:大成健康产业混合
[2021-06-28 18:26:29,037] [INFO] [10176] [fund_spider]: code:004235, name:中欧价值智选混合C
[2021-06-28 18:26:29,044] [INFO] [9840] [fund_spider]: code:000831, name:工银医疗保健股票
[2021-06-28 18:26:29,097] [INFO] [14236] [fund_spider]: code:002919, name:东吴智慧医疗量化混合A
[2021-06-28 18:26:29,202] [INFO] [2308] [fund_spider]: code:008437, name:九泰行业优选混合A
[2021-06-28 18:26:29,235] [INFO] [12636] [fund_spider]: code:002708, name:大摩健康产业混合
[2021-06-28 18:26:29,236] [INFO] [10664] [fund_spider]: 

progress 1/163


[2021-06-28 18:26:35,676] [INFO] [8296] [fund_spider]: code:001717, name:工银前沿医疗股票A
[2021-06-28 18:26:35,769] [INFO] [3888] [fund_spider]: code:010685, name:工银前沿医疗股票C
[2021-06-28 18:26:35,782] [INFO] [14308] [fund_spider]: code:008438, name:九泰行业优选混合C
[2021-06-28 18:26:35,836] [INFO] [6536] [fund_spider]: code:001300, name:大成睿景灵活配置混合A
[2021-06-28 18:26:35,874] [INFO] [11028] [fund_spider]: code:210008, name:金鹰策略配置混合
[2021-06-28 18:26:35,996] [INFO] [8296] [fund_spider]: code:000126, name:招商安润混合
[2021-06-28 18:26:36,099] [INFO] [3888] [fund_spider]: code:009353, name:浙商科创一个月滚动持有混合A
[2021-06-28 18:26:36,301] [INFO] [6536] [fund_spider]: code:005855, name:中科沃土沃瑞混合A
[2021-06-28 18:26:36,362] [INFO] [14308] [fund_spider]: code:010654, name:天弘医药创新A
[2021-06-28 18:26:36,373] [INFO] [11028] [fund_spider]: code:009354, name:浙商科创一个月滚动持有混合C
[2021-06-28 18:26:36,500] [INFO] [3888] [fund_spider]: code:010655, name:天弘医药创新C
[2021-06-28 18:26:36,551] [INFO] [8296] [fund_spider]: code:005856, name:中科沃土沃瑞混合C
[2021-06-28 18:26:36,718] [INFO] [14308] [fund_spider]: code:008359, name:华安医疗创新混合
[2021-06-28 18:26:36,783] [INFO] [11028] [fund_spider]: code:003567, name:华夏行业景气混合
[2021-06-28 18:26:36,879] [INFO] [6536] [fund_spider]: code:001301, name:大成睿景灵活配置混合C
[2021-06-28 18:26:37,034] [INFO] [3888] [fund_spider]: code:519171, name:浦银安盛医疗健康混合
[2021-06-28 18:26:37,137] [INFO] [8296] [fund_spider]: code:005821, name:万家新机遇龙头企业混合
[2021-06-28 18:26:37,143] [INFO] [14308] [fund_spider]: code:006392, name:中信保诚创新成长混合
[2021-06-28 18:26:37,189] [INFO] [11028] [fund_spider]: code:008279, name:国泰中证煤炭ETF联接A
[2021-06-28 18:26:37,316] [INFO] [3888] [fund_spider]: code:010460, name:兴业研究精选混合
[2021-06-28 18:26:37,398] [INFO] [6536] [fund_spider]: code:290006, name:泰信蓝筹精选混合
[2021-06-28 18:26:37,546] [INFO] [14308] [fund_spider]: code:000209, name:信诚新兴产业混合
[2021-06-28 18:26:37,601] [INFO] [11028] [fund_spider]: code:519918, name:华夏兴和混合
[2021-06-28 18:26:37,627] [INFO] [8296] [fund_spider]: code:008280, name:国泰中证煤炭ETF联接C
[2021-06-28 18:26:37,752] [INFO] [3888] [fund_spider]: code:008919, name:永赢科技驱动A
[2021-06-28 18:26:37,847] [INFO] [6536] [fund_spider]: code:001743, name:诺安优选回报混合
[2021-06-28 18:26:38,025] [INFO] [8296] [fund_spider]: code:008920, name:永赢科技驱动C
[2021-06-28 18:26:38,071] [INFO] [11028] [fund_spider]: code:160416, name:华安标普全球石油指数
[2021-06-28 18:26:38,120] [INFO] [3888] [fund_spider]: code:161032, name:富国中证煤炭指数(LOF)
[2021-06-28 18:26:38,168] [INFO] [14308] [fund_spider]: code:002258, name:大成国企改革灵活配置混合
[2021-06-28 18:26:38,350] [INFO] [6536] [fund_spider]: code:005299, name:万家成长优选混合A
[2021-06-28 18:26:38,441] [INFO] [8296] [fund_spider]: code:000433, name:安信鑫发优选混合
[2021-06-28 18:26:38,561] [INFO] [11028] [fund_spider]: code:004784, name:招商稳健优选股票
[2021-06-28 18:26:38,611] [INFO] [3888] [fund_spider]: code:005300, name:万家成长优选混合C
[2021-06-28 18:26:38,660] [INFO] [14308] [fund_spider]: code:005535, name:泰信竞争优选混合
[2021-06-28 18:26:38,807] [INFO] [6536] [fund_spider]: code:001279, name:中海积极增利混合
[2021-06-28 18:26:38,889] [INFO] [8296] [fund_spider]: code:168203, name:中融国证钢铁行业指数(LOF)
[2021-06-28 18:26:38,959] [INFO] [11028] [fund_spider]: code:008293, name:农银汇理创新医疗混合
[2021-06-28 18:26:39,045] [INFO] [3888] [fund_spider]: code:168204, name:中融中证煤炭指数(LOF)
[2021-06-28 18:26:39,131] [INFO] [14308] [fund_spider]: code:502023, name:鹏华国证钢铁行业指数(LOF)
[2021-06-28 18:26:39,208] [INFO] [6536] [fund_spider]: code:310358, name:申万菱信新经济混合
[2021-06-28 18:26:39,321] [INFO] [8296] [fund_spider]: code:180012, name:银华富裕主题混合
[2021-06-28 18:26:39,474] [INFO] [11028] [fund_spider]: code:000913, name:农银医疗保健股票
[2021-06-28 18:26:39,482] [INFO] [3888] [fund_spider]: code:000828, name:泰达转型机遇
[2021-06-28 18:26:39,647] [INFO] [6536] [fund_spider]: code:008189, name:国泰中证钢铁ETF联接A
[2021-06-28 18:26:39,662] [INFO] [14308] [fund_spider]: code:001980, name:中欧量化驱动混合
[2021-06-28 18:26:39,753] [INFO] [8296] [fund_spider]: code:003378, name:泰康策略优选混合
[2021-06-28 18:26:39,864] [INFO] [11028] [fund_spider]: code:008190, name:国泰中证钢铁ETF联接C
[2021-06-28 18:26:39,906] [INFO] [3888] [fund_spider]: code:007750, name:广发优势增长股票
[2021-06-28 18:26:39,951] [INFO] [6536] [fund_spider]: code:009847, name:圆信永丰研究精选混合A
[2021-06-28 18:26:39,951] [INFO] [10664] [fund_spider]: 

progress 2/163


[2021-06-28 18:26:41,238] [INFO] [3056] [fund_spider]: code:001365, name:大成正向回报灵活配置混合
[2021-06-28 18:26:41,288] [INFO] [11120] [fund_spider]: code:519125, name:浦银安盛消费升级混合A
[2021-06-28 18:26:41,292] [INFO] [10520] [fund_spider]: code:210003, name:金鹰行业优势混合
[2021-06-28 18:26:41,362] [INFO] [12652] [fund_spider]: code:001811, name:中欧明睿新常态混合A
[2021-06-28 18:26:41,384] [INFO] [9912] [fund_spider]: code:001763, name:广发多策略混合
[2021-06-28 18:26:41,583] [INFO] [3056] [fund_spider]: code:519176, name:浦银安盛消费升级混合C
[2021-06-28 18:26:41,627] [INFO] [10520] [fund_spider]: code:001411, name:诺安创新驱动混合A
[2021-06-28 18:26:41,686] [INFO] [11120] [fund_spider]: code:009848, name:圆信永丰研究精选混合C
[2021-06-28 18:26:41,853] [INFO] [9912] [fund_spider]: code:002051, name:诺安创新驱动混合C
[2021-06-28 18:26:41,900] [INFO] [12652] [fund_spider]: code:004905, name:华泰柏瑞生物医药混合A
[2021-06-28 18:26:42,019] [INFO] [3056] [fund_spider]: code:005233, name:广发睿毅领先混合A
[2021-06-28 18:26:42,069] [INFO] [10520] [fund_spider]: code:002256, name:金信行业优选混合发起式
[2021-06-28 18:26:42,197] [INFO] [11120] [fund_spider]: code:000684, name:长盛养老健康产业灵活配置混合
[2021-06-28 18:26:42,270] [INFO] [9912] [fund_spider]: code:005765, name:中欧明睿新常态混合C
[2021-06-28 18:26:42,333] [INFO] [12652] [fund_spider]: code:005303, name:嘉实医药健康股票A
[2021-06-28 18:26:42,475] [INFO] [10520] [fund_spider]: code:009644, name:东方阿尔法优势产业混合A
[2021-06-28 18:26:42,550] [INFO] [3056] [fund_spider]: code:000242, name:景顺长城策略精选灵活配置混合
[2021-06-28 18:26:42,646] [INFO] [11120] [fund_spider]: code:002685, name:中欧丰泓沪港深混合A
[2021-06-28 18:26:42,724] [INFO] [9912] [fund_spider]: code:010031, name:华泰柏瑞生物医药混合C
[2021-06-28 18:26:42,820] [INFO] [12652] [fund_spider]: code:009954, name:北信瑞丰优选成长
[2021-06-28 18:26:42,883] [INFO] [10520] [fund_spider]: code:006002, name:工银医药健康股票A
[2021-06-28 18:26:43,107] [INFO] [3056] [fund_spider]: code:550009, name:信诚中小盘混合
[2021-06-28 18:26:43,119] [INFO] [11120] [fund_spider]: code:161815, name:银华抗通胀主题
[2021-06-28 18:26:43,174] [INFO] [9912] [fund_spider]: code:005304, name:嘉实医药健康股票C
[2021-06-28 18:26:43,305] [INFO] [12652] [fund_spider]: code:519674, name:银河创新成长混合
[2021-06-28 18:26:43,359] [INFO] [10520] [fund_spider]: code:001815, name:华泰柏瑞激励动力混合A
[2021-06-28 18:26:43,499] [INFO] [3056] [fund_spider]: code:009645, name:东方阿尔法优势产业混合C
[2021-06-28 18:26:43,565] [INFO] [11120] [fund_spider]: code:008328, name:诺安新兴产业混合
[2021-06-28 18:26:43,633] [INFO] [9912] [fund_spider]: code:002133, name:广发鑫益混合
[2021-06-28 18:26:43,719] [INFO] [12652] [fund_spider]: code:003333, name:泰信智选成长混合
[2021-06-28 18:26:43,825] [INFO] [10520] [fund_spider]: code:004250, name:银河量化优选混合
[2021-06-28 18:26:43,903] [INFO] [3056] [fund_spider]: code:002082, name:华泰柏瑞激励动力混合C
[2021-06-28 18:26:44,047] [INFO] [9912] [fund_spider]: code:006003, name:工银医药健康股票C
[2021-06-28 18:26:44,118] [INFO] [11120] [fund_spider]: code:009140, name:永赢竞争力精选混合
[2021-06-28 18:26:44,182] [INFO] [12652] [fund_spider]: code:009162, name:富国医药成长30股票
[2021-06-28 18:26:44,240] [INFO] [10520] [fund_spider]: code:002686, name:中欧丰泓沪港深混合C
[2021-06-28 18:26:44,371] [INFO] [3056] [fund_spider]: code:270001, name:广发聚富混合
[2021-06-28 18:26:44,426] [INFO] [9912] [fund_spider]: code:400015, name:东方新能源汽车混合
[2021-06-28 18:26:44,553] [INFO] [12652] [fund_spider]: code:519150, name:新华优选消费混合
[2021-06-28 18:26:44,609] [INFO] [11120] [fund_spider]: code:007994, name:华夏中证500指数增强A
[2021-06-28 18:26:44,686] [INFO] [10520] [fund_spider]: code:001866, name:北信瑞丰新成长
[2021-06-28 18:26:44,889] [INFO] [9912] [fund_spider]: code:009855, name:中加新兴成长混合A
[2021-06-28 18:26:44,901] [INFO] [3056] [fund_spider]: code:007995, name:华夏中证500指数增强C
[2021-06-28 18:26:45,020] [INFO] [12652] [fund_spider]: code:161724, name:招商中证煤炭等权指数(LOF)
[2021-06-28 18:26:45,079] [INFO] [11120] [fund_spider]: code:005543, name:银华心诚灵活配置混合
[2021-06-28 18:26:45,200] [INFO] [10520] [fund_spider]: code:008988, name:大成科技创新混合A
[2021-06-28 18:26:45,265] [INFO] [9912] [fund_spider]: code:010805, name:东财新能源车A
[2021-06-28 18:26:45,391] [INFO] [12652] [fund_spider]: code:003291, name:信达澳银健康中国混合
[2021-06-28 18:26:45,455] [INFO] [11120] [fund_spider]: code:000594, name:大摩进取优选股票
[2021-06-28 18:26:45,458] [INFO] [3056] [fund_spider]: code:009856, name:中加新兴成长混合C
[2021-06-28 18:26:45,459] [INFO] [10664] [fund_spider]: 

progress 3/163


[2021-06-28 18:26:46,847] [INFO] [11832] [fund_spider]: code:010806, name:东财新能源车C
[2021-06-28 18:26:46,887] [INFO] [11200] [fund_spider]: code:007474, name:华夏创成长ETF联接A
[2021-06-28 18:26:46,957] [INFO] [8164] [fund_spider]: code:000066, name:诺安鸿鑫混合
[2021-06-28 18:26:46,978] [INFO] [12200] [fund_spider]: code:008989, name:大成科技创新混合C
[2021-06-28 18:26:47,024] [INFO] [11088] [fund_spider]: code:001681, name:新华积极价值灵活配置混合
[2021-06-28 18:26:47,226] [INFO] [11200] [fund_spider]: code:004532, name:民生加银中证港股通指数A
[2021-06-28 18:26:47,277] [INFO] [11832] [fund_spider]: code:001877, name:宝盈国家安全沪港深股票
[2021-06-28 18:26:47,410] [INFO] [12200] [fund_spider]: code:007475, name:华夏创成长ETF联接C
[2021-06-28 18:26:47,427] [INFO] [8164] [fund_spider]: code:003834, name:华夏能源革新股票
[2021-06-28 18:26:47,512] [INFO] [11088] [fund_spider]: code:004616, name:中欧电子信息产业沪港深股票A
[2021-06-28 18:26:47,651] [INFO] [11200] [fund_spider]: code:290005, name:泰信优势增长混合
[2021-06-28 18:26:47,709] [INFO] [11832] [fund_spider]: code:004533, name:民生加银中证港股通指数C
[2021-06-28 18:26:47,839] [INFO] [8164] [fund_spider]: code:002083, name:新华鑫动力灵活配置混合A
[2021-06-28 18:26:47,867] [INFO] [12200] [fund_spider]: code:580006, name:东吴新经济混合A
[2021-06-28 18:26:48,020] [INFO] [11088] [fund_spider]: code:001543, name:宝盈新锐混合A
[2021-06-28 18:26:48,104] [INFO] [11200] [fund_spider]: code:005927, name:创金合信新能源汽车股票A
[2021-06-28 18:26:48,236] [INFO] [11832] [fund_spider]: code:501051, name:圆信永丰汇利混合(LOF)
[2021-06-28 18:26:48,333] [INFO] [8164] [fund_spider]: code:002084, name:新华鑫动力灵活配置混合C
[2021-06-28 18:26:48,347] [INFO] [12200] [fund_spider]: code:519702, name:交银趋势混合
[2021-06-28 18:26:48,471] [INFO] [11088] [fund_spider]: code:006233, name:万家汽车新趋势混合A
[2021-06-28 18:26:48,538] [INFO] [11200] [fund_spider]: code:003095, name:中欧医疗健康混合A
[2021-06-28 18:26:48,619] [INFO] [11832] [fund_spider]: code:162201, name:泰达宏利成长混合
[2021-06-28 18:26:48,739] [INFO] [8164] [fund_spider]: code:003513, name:中邮消费升级
[2021-06-28 18:26:48,811] [INFO] [12200] [fund_spider]: code:006401, name:先锋量化优选混合A
[2021-06-28 18:26:48,915] [INFO] [11088] [fund_spider]: code:005634, name:汇安行业龙头混合
[2021-06-28 18:26:48,995] [INFO] [11200] [fund_spider]: code:217013, name:招商中小盘混合
[2021-06-28 18:26:49,093] [INFO] [11832] [fund_spider]: code:004925, name:长信低碳环保行业量化股票
[2021-06-28 18:26:49,173] [INFO] [8164] [fund_spider]: code:005763, name:中欧电子信息产业沪港深股票C
[2021-06-28 18:26:49,257] [INFO] [12200] [fund_spider]: code:004724, name:先锋聚元灵活配置混合A
[2021-06-28 18:26:49,386] [INFO] [11088] [fund_spider]: code:006234, name:万家汽车新趋势混合C
[2021-06-28 18:26:49,453] [INFO] [11200] [fund_spider]: code:003070, name:光大创业板量化优选C
[2021-06-28 18:26:49,501] [INFO] [11832] [fund_spider]: code:010128, name:宝盈发展新动能股票A
[2021-06-28 18:26:49,613] [INFO] [8164] [fund_spider]: code:005928, name:创金合信新能源汽车股票C
[2021-06-28 18:26:49,680] [INFO] [12200] [fund_spider]: code:003152, name:华富天鑫灵活配置混合A
[2021-06-28 18:26:49,825] [INFO] [11200] [fund_spider]: code:450011, name:国富研究精选混合
[2021-06-28 18:26:49,873] [INFO] [11088] [fund_spider]: code:003069, name:光大创业板量化优选A
[2021-06-28 18:26:49,923] [INFO] [11832] [fund_spider]: code:005805, name:华泰柏瑞医疗健康A
[2021-06-28 18:26:50,147] [INFO] [8164] [fund_spider]: code:004725, name:先锋聚元灵活配置混合C
[2021-06-28 18:26:50,189] [INFO] [12200] [fund_spider]: code:006402, name:先锋量化优选混合C
[2021-06-28 18:26:50,265] [INFO] [11200] [fund_spider]: code:007578, name:宝盈新锐混合C
[2021-06-28 18:26:50,318] [INFO] [11088] [fund_spider]: code:050018, name:博时行业轮动混合
[2021-06-28 18:26:50,462] [INFO] [11832] [fund_spider]: code:006675, name:宝盈品牌消费股票A
[2021-06-28 18:26:50,585] [INFO] [12200] [fund_spider]: code:009108, name:富国红利精选混合(QDII)人民币
[2021-06-28 18:26:50,596] [INFO] [8164] [fund_spider]: code:007460, name:华安成长创新混合
[2021-06-28 18:26:50,698] [INFO] [11200] [fund_spider]: code:002910, name:易方达供给改革混合
[2021-06-28 18:26:50,777] [INFO] [11088] [fund_spider]: code:005293, name:诺德新旺
[2021-06-28 18:26:50,878] [INFO] [11832] [fund_spider]: code:003096, name:中欧医疗健康混合C
[2021-06-28 18:26:50,965] [INFO] [12200] [fund_spider]: code:004683, name:建信高端医疗股票
[2021-06-28 18:26:51,023] [INFO] [8164] [fund_spider]: code:006218, name:富国生物医药科技混合A
[2021-06-28 18:26:51,058] [INFO] [11200] [fund_spider]: code:000496, name:长安产业精选混合A
[2021-06-28 18:26:51,059] [INFO] [10664] [fund_spider]: 

progress 4/163


[2021-06-28 18:26:52,484] [INFO] [1644] [fund_spider]: code:165516, name:信诚周期轮动混合(LOF)
[2021-06-28 18:26:52,580] [INFO] [11532] [fund_spider]: code:007130, name:中庚小盘价值股票
[2021-06-28 18:26:52,618] [INFO] [12300] [fund_spider]: code:167001, name:平安鼎泰混合(LOF)
[2021-06-28 18:26:52,628] [INFO] [10540] [fund_spider]: code:006228, name:中欧医疗创新股票A
[2021-06-28 18:26:52,721] [INFO] [10004] [fund_spider]: code:010271, name:国富价值成长一年持有期混合A
[2021-06-28 18:26:52,806] [INFO] [1644] [fund_spider]: code:010129, name:宝盈发展新动能股票C
[2021-06-28 18:26:53,001] [INFO] [12300] [fund_spider]: code:005265, name:博时厚泽回报混合A
[2021-06-28 18:26:53,078] [INFO] [11532] [fund_spider]: code:004075, name:交银医药创新股票
[2021-06-28 18:26:53,147] [INFO] [10540] [fund_spider]: code:005119, name:银华智荟内在价值灵活配置
[2021-06-28 18:26:53,207] [INFO] [10004] [fund_spider]: code:006445, name:华夏全球聚享A人民币
[2021-06-28 18:26:53,314] [INFO] [1644] [fund_spider]: code:002300, name:长盛医疗行业量化配置股票
[2021-06-28 18:26:53,514] [INFO] [12300] [fund_spider]: code:001120, name:东方睿鑫热点挖掘混合A
[2021-06-28 18:26:53,551] [INFO] [11532] [fund_spider]: code:003153, name:华富天鑫灵活配置混合C
[2021-06-28 18:26:53,565] [INFO] [10540] [fund_spider]: code:010272, name:国富价值成长一年持有期混合C
[2021-06-28 18:26:53,646] [INFO] [10004] [fund_spider]: code:501057, name:汇添富中证新能源汽车A
[2021-06-28 18:26:53,748] [INFO] [1644] [fund_spider]: code:002071, name:长安产业精选混合C
[2021-06-28 18:26:53,891] [INFO] [12300] [fund_spider]: code:006676, name:宝盈品牌消费股票C
[2021-06-28 18:26:53,955] [INFO] [11532] [fund_spider]: code:008887, name:华夏国证半导体芯片ETF联接A
[2021-06-28 18:26:54,014] [INFO] [10540] [fund_spider]: code:009398, name:华富成长企业精选股票
[2021-06-28 18:26:54,099] [INFO] [10004] [fund_spider]: code:010122, name:华泰柏瑞优势领航混合A
[2021-06-28 18:26:54,178] [INFO] [1644] [fund_spider]: code:004851, name:广发医疗保健股票A
[2021-06-28 18:26:54,402] [INFO] [12300] [fund_spider]: code:501058, name:汇添富中证新能源汽车C
[2021-06-28 18:26:54,416] [INFO] [11532] [fund_spider]: code:519115, name:浦银安盛红利精选混合
[2021-06-28 18:26:54,424] [INFO] [10540] [fund_spider]: code:006281, name:万家人工智能混合
[2021-06-28 18:26:54,563] [INFO] [10004] [fund_spider]: code:006593, name:博道中证500增强A
[2021-06-28 18:26:54,620] [INFO] [1644] [fund_spider]: code:000711, name:嘉实医疗保健股票
[2021-06-28 18:26:54,787] [INFO] [10540] [fund_spider]: code:008888, name:华夏国证半导体芯片ETF联接C
[2021-06-28 18:26:54,857] [INFO] [11532] [fund_spider]: code:007549, name:中泰开阳价值优选混合A
[2021-06-28 18:26:54,873] [INFO] [12300] [fund_spider]: code:008276, name:财通资管价值发现混合
[2021-06-28 18:26:55,075] [INFO] [1644] [fund_spider]: code:006448, name:华夏全球聚享C人民币
[2021-06-28 18:26:55,098] [INFO] [10004] [fund_spider]: code:004390, name:平安转型创新混合A
[2021-06-28 18:26:55,212] [INFO] [10540] [fund_spider]: code:006229, name:中欧医疗创新股票C
[2021-06-28 18:26:55,342] [INFO] [12300] [fund_spider]: code:270005, name:广发聚丰混合A
[2021-06-28 18:26:55,382] [INFO] [11532] [fund_spider]: code:000945, name:华夏医疗健康混合A
[2021-06-28 18:26:55,521] [INFO] [1644] [fund_spider]: code:005449, name:华夏行业龙头混合
[2021-06-28 18:26:55,530] [INFO] [10004] [fund_spider]: code:006594, name:博道中证500增强C
[2021-06-28 18:26:55,657] [INFO] [10540] [fund_spider]: code:233008, name:大摩消费领航混合
[2021-06-28 18:26:55,760] [INFO] [11532] [fund_spider]: code:009163, name:广发医疗保健股票C
[2021-06-28 18:26:55,828] [INFO] [12300] [fund_spider]: code:700003, name:平安策略先锋混合
[2021-06-28 18:26:55,955] [INFO] [1644] [fund_spider]: code:000220, name:富国医疗保健行业混合A
[2021-06-28 18:26:55,969] [INFO] [10004] [fund_spider]: code:001121, name:东方睿鑫热点挖掘混合C
[2021-06-28 18:26:56,101] [INFO] [10540] [fund_spider]: code:005266, name:博时厚泽回报混合C
[2021-06-28 18:26:56,190] [INFO] [11532] [fund_spider]: code:410007, name:华富价值增长混合
